# Amusing_Name,redshift_amusing,def_name,SN_name,SN_type,pgc,hl_names(pgc),objtype,al1950,de1950,celposb(pgc),al2000,de2000,celposj(pgc),l2,b2,sgl,sgb,f_astrom,type,bar,ring,multiple,compactness,t,e_t,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,ut,e_ut,bt,e_bt,vt,e_vt,it,e_it,kt,e_kt,ube,bve,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,mg2,e_mg2,m21,e_m21,mfir,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,logdc,btc,ubtc,bvtc,bri25,vrot,e_vrot,m21c,hic,vlg,vgsr,vvir,v3k,modz,e_modz,mod0,e_mod0,modbest,e_modbest,mabs,e_mabs,Pointings,RA_pointing,DEC_pointing,Source,RA_DSS,DEC_DSS,offset_RA,offset_DEC,,SNX,SNY,GALX,GALY,,RA_SN,DEC_SN,RA_GAL,DEC_GAL,SN_name
PGC170294,0.02431,PGC170294,ASASSN13an,Ia,170294,SS2b239.009/PGC170294/6dFJ1345365-071935/2MASXJ13453653-0719350,G,13.7164063,-7.0762865,B134259.1-070435,13.76015,-7.3263611,J134536.5-071935,325.7076369,53.1330622,127.0758177,10.0517396,0,Sa,,,,,1.0,2.0,,,,,55.0,,,,,14.93,0.5,,,,,11478,54,,,,,,,,,,,,,,,,7286.7,14.5,7286.7,14.5,169,,,,,14.67,,,,,,,,7154.5,7218.4,7341.6,7577.5,35143,148,,,35143,148,-20474,521,1.0,13:45:37,-7:19:32,P96,13:45:36.54,-07:19:034.9,-8.09999999991,2.89996,,187,172,163,159,,13:45:36.210,-7:19:32.60,13:45:36.556,-7:19:34.69,ASASSN13an
PGC004701,0.017752,PGC004701,ASASSN13ar,Ia,4701,VV478/PGC1018800/PGC004701/MCG-01-04-025/2MASXJ01184264-0726588,G,1.2699736,-7.7123676,B011611.9-074245,1.3118649,-7.4496901,J011842.7-072659,142.3720835,-69.2856011,290.8272236,-7.6787311,1,Sbc,,R,M,,3.9,2.5,1002,46,33,24,,,,,,15.0,0.5,,,13325,84,13261,368,,,,,,,,,,,,,,5321.0,5.5,5322.0,10.0,5321.2,3.3,238,54,22.76,0.02,1023,14674,,,23688,,,,,5414.5,5362.3,5210.9,5017.4,34404,208,,,34404,208,-19.73,542,1.0,01:18:44,-7:26:58,P96,01:18:42.71,-07:26:58.88,-10.7046,16.88436,,291,253,230,165,,01:18:42,-7:26:42,,,ASASSN13ar
UGC01395,0.017405,UGC01395,ASASSN13bb,Ia,7164,[RC2]A0152+06/UM146/UGC01395/SRGB119.027/PGC007164/MCG+01-05-048/KUG0152+063/KIG0072/IRAS01527+0622/CGCG412-046/AGC001395/2MASXJ01552201+0636421,G,1.8790633,6.367061,B015244.6+062201,1.9227806,6.6116944,J015522.0+063642,149.8833863,-52.8820739,307.1284617,-12.5759393,0,Sb,,R,,,3.1,0.4,1086,39,215,0.03,158.66,,,,,14433,322,14.5,0.1,12.35,0.1,10325,114,,,103.93,5.26,,,,,,,16466,269,13607,5159.4,7.6,5190.7,12.2,5168.1,10.9,315,317,55.08,0.03,1107,13762,,,23243,126.75,6.51,16437,2674,5289.6,5228.0,5104.6,4887.3,34352,213,,,34352,213,-20.59,386,2.0,1:55:23/1:55:21,6:36:23/6:37:03,P96,01:55:22.01,06:36:042.1,-15.1524,-8.09984,,342,224,245,257,,01:55:21,06:36:34,,,ASASSN13bb
NGC1954,0.010441,NGC1954,ASASSN13cc,Ia,17422,PGC017422/NPM1G-14.0248/NGC1954/MCG-02-15-003/IRAS05305-1405/HIPASSJ0532-14/AGC450069/2MASXJ05324835-1403460,G,5.5086784,-14.0971276,B053031.2-140550,5.5467639,-14.0627778,J053248.4-140346,217.1552217,-23.6544596,298.4701553,-70.0770324,0,Sbc,,,,,4.4,0.6,1559,29,0.29,0.03,149.32,23302,325,12611,153,12561,153,11931,153,11806,252,9.19,143,65,0.77,206.68,4.27,,,,,,,13733,109,12445,3126.6,3.9,3123.0,20.0,3126.5,2.8,622,476,61.55,0.04,1606,11443,-106,412,23563,235.08,4.95,13698,2256,2973.2,2988.7,2911.4,3170.2,33129,373,,,33129,373,-21686,403,6.0,5:32:47/5:32:50/5:32:45/5:32:48/5:32:49/5:32:52,-14:03:59/-14:03:33/-14:03:16/-14:02:50/-14:04:42/-14:04:16,P96,05:32:48.35,-14:03:046.0,-20.2506,60.00008,,,,,,,05:32:47,-14:02:46,,,ASASSN13cc
PGC057687,0.016433,PGC057687,ASASSN13ch,Ia,57687,SHOC532/SDSSJ161633.84-003519.9/SDSSJ161633.83-003519.7/SDSSJ161633.82-003519.9/PGC057687/NPM1G-00.0507/CGCG023-030/6dFJ1616338-003519/2MASXJ16163387-0035192,G,16.2331974,-0.4658903,B161359.5-002757,16.276067,-0.5887151,J161633.8-003519,12.26166,33.5021836,135.3639544,47.6269233,0,,,,,,,,782,68,448,28,172.48,,,16949,11,16058,497,,,15454,114,13.59,119,,,,,,,,,,,,,,,,4935.9,1.7,4935.9,1.7,525,,71.75,0.05,,15484,,,23707,,,,,4966.0,4988.1,5080.3,5023.6,34335,214,,,34335,214,-18851,541,1.0,16:16:34,-0:35:20,P96,16:16:33.84,-00:35:19.37,2.38199999992,4.24637436,,139,130,153,171,,16:16:34.060,-0:35:27.38,16:16:33.875,-0:35:19.22,ASASSN13ch
CGCG051-075,0.018000,CGCG051-075,ASASSN13cj,Ia,57720,SDSSJ161711.04+043314.7/PGC057720/NPM1G+04.0498/KIG0730/CGCG051-075/2MASSJ16171104+0433146,G,16.2450303,4.6761364,B161442.1+044034,16.2864001,4.5540421,J161711.0+043315,17.6690225,36.1042309,128.2159424,49.6763924,0,Sbc,,,,,4.4,3.0,911,183,94,49,132.81,,,17277,24,15945,454,,,14428,87,13558,82,,,,,,,,,,,,,,,,,,,,315,157,37.39,0.02,937,15473,,,24067,,,,,,,,,,,,,,,,,1.0,16:17:11,04:33:15,P96,16:17:11.04,04:33:14.55,-0.605400000006,0.448439999998,,151,165,149,165,,16:17:11.010,4:33:14.72,16:17:11.046,4:33:14.71,ASASSN13cj
PGC055442,0.023576,PGC055442,ASASSN13cp,Ia,55442,SDSSJ153348.92+210810.3/SDSSJ153348.91+210810.4/SDSSJ153348.91+210810.3/PGC055442/MCG+04-37-003/CGCG136-015/ARK477/2MASXJ15334894+2108102,G,15.5266429,21.30304,B153135.9+211811,15.56359,21.1362113,J153348.9+210810,32.739848,52.6323627,101.9344703,42.1572161,0,E,B,R,,,-5.0,2.0,0.86,66,124,27,17.56,22251,647,16.08,172,14758,339,,,13223,0.07,10756,49,,,,,,,,,,,,,,,,7025.7,2.8,7025.7,2.8,249,0.0,64.75,0.04,895,14404,,,22913,,,,,7103.1,7112.1,7252.3,7151.5,35118,0.15,,,35118,0.15,-20714,0.37,1.0,15:33:49,21:08:10,P96,15:33:48.92,21:08:10.36,1.14000000009,9.63932,,147,214,167,156,,15:33:49.236,21:08:21.87,15:33:48.913,21:08:10.31,ASASSN13cp
PGC002414,0.027219,PGC002414,ASASSN13cu,Ia,2414,SDSSJ004010.55-102626.2/SDSSJ004010.55-102626.1/PGC002414/KAZ361/8ZW035/6dFJ0040105-102626/2MASXJ00401050-1026257,G,0.6274684,-10.7150008,B003738.9-104254,0.6695942,-10.4405728,J004010.5-102626,113.3647673,-73.1028049,285.3987944,0.6988539,0,Sb,,,,,3.0,2.0,623,236,82,79,93.01,,,16557,11,14833,905,,,14571,71,12182,63,,,,,,,,,,,,,,,,8155.6,2.6,8155.6,2.6,148,124,35.57,0.02,634,14501,,,21.55,,,,,8262.6,8209.8,8054.7,7829.1,35345,135,,,35345,135,-20844,915,1.0,00:40:11,-10:26:26,P96,00:40:10.54,-10:26:26.06,-8.0868,4.06208,,215,185,173,166,,00:40:10,-10:26:22,,,ASASSN13cu
NGC2765,0.012549,NGC2765,ASASSN13dd/SN2008hv,Ia,25646,UGC04791/SDSSJ090736.64+032334.5/SDSSJ090736.64+032334.4/PGC025646/NIBLES0799/NGC2765/MCG+01-24-001/KIG0303/CGCG033-061/2MASXJ09073666+0323347,G,9.0833615,3.5951036,B090500.1+033542,9.1268465,3.3929101,J090736.6+032334,226.665176,31.6241876,89.0240662,-52.049846,0,S0,B,,,,-1.8,0.9,1438,0.05,469,44,105.45,22397,266,14627,131,13179,254,,,11714,112,9236,42,,,,,,,187.73,12.1,,,,,,,,3774.6,1.2,3774.6,1.2,139,0.0,90.0,0.83,1435,12983,,,24036,,,,,3577.7,3629.3,3706.9,4086.3,33662,293,,,33662,293,-20679,388,1.0,09:07:35/09:07:35.13,03:23:34/+03:23:43.0,P96/P97,09:07:36.65,03:23:34.48,5.28900000015,4.52364,,,,,,,09:07:37,03:23:39,,,ASASSN13dd/SN2008hv
PGC2816341,0.01700,PGC2816341,ASASSN13dm,Ia,2816341,[MO2001]J030211.2+155538.0/PGC2816341/NPM1G+15.0113/IRAS02593+1543/AGC121398/2MASXJ03021111+1555387,G,2.9899897,15.7311595,B025924.0+154352,3.0364312,15.9273262,J030211.2+155538,163.1900179,-36.5238726,322.6027995,-24.4184038,0,,,,,,,,,,,,0.0,,,,,16.1,0.5,,,,,11783,44,,,70.25,5.22,,,,,,,17435,297,13175,5068.0,6.1,5134.6,17.4,5075.4,15.3,564,,,,,15486,,,,,,,,5174.3,5118.2,5029.4,4874.2,34317,216,,,34317,216,-18832,545,1.0,03:02:11,15:55:39,P96,03:02:11.15,15:55:38.37,-2.28479999999,0.625680000002,,183,159,164,158,,3:02:10.850,15:55:38.80,3:02:11.114,15:55:38.70,ASASSN13dm
